"CallerIPAddress";"Resource";"ResourceGroup";"ResourceId";"ResourceType";"ResultType";"OperationName";"requestUri_s";"ResultSignature";"clientInfo_s";"httpStatusCode_d";"identity_claim_http_schemas_xmlsoap_org_ws_2005_05_identity_claims_upn_s";"Count";"AllowPublicAccess";"IPwhitelist";"VnetRules";"PrivateEndpoint";"ApplicationContact";"AppOwner"
"35.153.40.82";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2018-02-14-preview";"OK";"";"200";"";"40";"True";"";"";"";"";""
"35.153.40.82";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyEncrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/encrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:198ec09d764fcb9876b345666aead1b2e63e1816a012302d068d99c2b41906c7 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"41";"True";"";"";"";"";""
"35.153.40.82";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyDecrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/decrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:198ec09d764fcb9876b345666aead1b2e63e1816a012302d068d99c2b41906c7 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"41";"True";"";"";"";"";""
"35.153.40.82";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyGet";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:198ec09d764fcb9876b345666aead1b2e63e1816a012302d068d99c2b41906c7 Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"42";"True";"";"";"";"";""
"3.232.182.22";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyEncrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/encrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:4495270827c3c1e991d43122d2ba2dc392e010354fd6cde63a8de8248072587e Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"40";"True";"";"";"";"";""
"3.232.182.22";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyDecrypt";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1/decrypt?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:4495270827c3c1e991d43122d2ba2dc392e010354fd6cde63a8de8248072587e Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"40";"True";"";"";"";"";""
"3.232.182.22";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"VaultGet";"https://management.azure.com/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourceGroups/rg-hk01-eas-n-actq-keyvault01/providers/Microsoft.KeyVault/vaults/kv-hk01-eas-u-actq-vlt01?api-version=2018-02-14-preview";"OK";"";"200";"";"40";"True";"";"";"";"";""
"3.232.182.22";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyGet";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys/atlas-uat-key/07cd029b044347b9a98a723dde653ee1?api-version=7.0";"OK";"Azure-SDK-For-Java/1.2.6 OS:Linux/3.10.0-1160.71.1.el7.x86_64 MacAddressHash:4495270827c3c1e991d43122d2ba2dc392e010354fd6cde63a8de8248072587e Java:11.0.16.1 (KeyVaultClientBase, 7.0)";"200";"";"40";"True";"";"";"";"";""
"18.221.72.80";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"KeyList";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/keys?api-version=7.2";"Forbidden";"Apache-HttpClient/4.5.13 (Java/11.0.15)";"403";"";"25";"True";"";"";"";"";""
"18.221.72.80";"KV-HK01-EAS-U-ACTQ-VLT01";"RG-HK01-EAS-N-ACTQ-KEYVAULT01";"/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-N-ACTQ-KEYVAULT01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-U-ACTQ-VLT01";"VAULTS";"Success";"SecretList";"https://kv-hk01-eas-u-actq-vlt01.vault.azure.net/secrets?api-version=7.2";"Forbidden";"Apache-HttpClient/4.5.13 (Java/11.0.15)";"403";"";"25";"True";"";"";"";"";""
