"CallerIPAddress","Resource","ResourceGroup","ResourceId","ResourceType","ResultType","Count","AllowPublicAccess","IPwhitelist","VnetRules","PrivateEndpoint","Tags"
"10.203.32.252","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","118676","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"10.203.32.4","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","210627","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"10.203.32.128","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","174317","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"165.225.234.208","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","22","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"13.59.164.228","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","26","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"18.191.115.70","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","76","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"20.93.80.234","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","6","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"3.16.7.30","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","42","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"20.93.89.138","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","6","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
"165.225.117.66","KV-HK01-EAS-A-IENG-VLT01","RG-HK01-EAS-A-E2E-RESOURCE01","/SUBSCRIPTIONS/9B491DD6-598E-498C-98A0-D3BBD2290821/RESOURCEGROUPS/RG-HK01-EAS-A-E2E-RESOURCE01/PROVIDERS/MICROSOFT.KEYVAULT/VAULTS/KV-HK01-EAS-A-IENG-VLT01","VAULTS","Success","6","True","","","","
Name                          Value                        
============================  =============================
BusinessApplication           E2E Performance Test         
IP                            Not Assigned                 
ApplicationName               E2E Performance Test         
ibm_imi_managed_env           A                            
DataClassification            Confidential                 
AppMSPName                    Kyndryl                      
ApplicationService            E2E Performance Test         
ibm_imi_managed               No                           
BusinessOwner                 stanley-sl.lam@aia.com       
Req                           RITM0157662                  
CostCenter                    HK010331                     
BusinessUnit                  HK                           
ibm_imi_managedservices_tier  Enterprise                   
CreatedOnDate                 2022-02-09T06:20:59.1556478Z 
ibm_imi_billing_plan          Monthly                      
ServerOwner                   stanley-sl.lam@aia.com       
MaintenanceWindow             FR1 - Every Friday after 1900
BillingRoute                  AIA Hong Kong and Macau      
InfraRemark2                  E2E                          
"
